X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Description_Clean,Description_Standardized,Needs_Review,Theme_Tags,Place_Locations,Season_key,Episode_key,Producer,Duration,Location 1,Match_Score,Match_Type,Name_core
-121.6767447,42.9049573,0.0,01.01 Bald Eagles,"Visit a winter roosting site for Bald Eagles located on the Oregon/California border. Harsh weather has provided the Eagles with a much anticipated food supply. Birds who have failed to migrate before the storm are now in a weakened, disadvantaged condition. Watch as Eagles scavenge the marshland for food, and learn why Ben Franklin thought the birds too lazy to be an appropriate symbol of the nation.",1.0,1.0,4/16/90,,,,,,,,,"Visit a winter roosting site for Bald Eagles located on the Oregon/California border. Harsh weather has provided the Eagles with a much anticipated food supply. Birds who have failed to migrate before the storm are now in a weakened, disadvantaged condition. Watch as Eagles scavenge the marshland for food, and learn why Ben Franklin thought the birds too lazy to be an appropriate symbol of the nation.","This story explores visit a winter roosting site for Bald Eagles located on the Oregon/California border. Harsh weather has provided the Eagles with a much anticipated food supply. Birds who have failed to migrate before the storm are now in a weakened, disadvantaged condition. Watch as Eagles scavenge the marshland for food, and learn why Ben Franklin thought the birds too lazy to be an appropriate symbol of the nation.",,Wildlife & Habitat; Science & Research; Technology & Innovation,Oregon; California,1.0,1.0,Jim Newman,00:05:41,,1.0,Description,Bald Eagles
-124.15239,44.6014992,0.0,01.01 Drift Net Fishing,"Driftnet fishing boats can lay out up to 30 miles of net in a single night. They capture everything that swims by, from commercially useful fish to dolphins, sharks and protected salmon. The result is overfishing of the worldwide stock of seafood.",1.0,1.0,4/16/90,,,,,,,,,"Driftnet fishing boats can lay out up to 30 miles of net in a single night. They capture everything that swims by, from commercially useful fish to dolphins, sharks and protected salmon. The result is overfishing of the worldwide stock of seafood.","This story explores driftnet fishing boats can lay out up to 30 miles of net in a single night. They capture everything that swims by, from commercially useful fish to dolphins, sharks and protected salmon. The result is overfishing of the worldwide stock of seafood.",,Wildlife & Habitat; Food & Drink,,1.0,1.0,Steve Amen,00:16:48,,1.0,Description,Drift Net Fishing
-121.152293,45.5876397,0.0,01.02 Artifact Looting,"Archaeological digs are being gutted by thieves looking a quick buck on the black market. Tools, bits of pottery, and petroglyphs are all the clues we have to ancient Oregon residents. In the Columbia River Gorge looting occurs on a weekly basis.",1.0,2.0,4/23/90,,,,,,,,,"Archaeological digs are being gutted by thieves looking a quick buck on the black market. Tools, bits of pottery, and petroglyphs are all the clues we have to ancient Oregon residents. In the Columbia River Gorge looting occurs on a weekly basis.","This story explores archaeological digs are being gutted by thieves looking a quick buck on the black market. Tools, bits of pottery, and petroglyphs are all the clues we have to ancient Oregon residents. In the Columbia River Gorge looting occurs on a weekly basis.",,History & Heritage; Rivers & Water; Science & Research,Oregon; Columbia River Gorge; Columbia River,1.0,2.0,Steve Lobel,00:09:18,,1.0,Description,Artifact Looting
-122.7932975,45.4564072,0.0,01.02 Koll Creekside Marsh,Development and wildlife habitat can work together. The Koll Creekside marsh in Beaverton is a wildlife refuge and a high–tech industrial site. Portland Oregon,1.0,2.0,4/23/90,,,,,,,,,Development and wildlife habitat can work together. The Koll Creekside marsh in Beaverton is a wildlife refuge and a hightech industrial site.,This story explores development and wildlife habitat can work together. The Koll Creekside marsh in Beaverton is a wildlife refuge and a hightech industrial site.,,Rivers & Water; Wildlife & Habitat; Science & Research,Koll Creekside Marsh; Beaverton; Portland; Oregon,1.0,2.0,Eric Cain,00:03:29,,1.0,Description,Koll Creekside Marsh
-122.8958324,44.4360917,0.0,01.02 Paragliding,All you need is a chute and the courage to run off a 500 foot high hill with the chute open. Paragliding Willamette Valley Oregon,1.0,2.0,4/23/90,,,,,,,,,All you need is a chute and the courage to run off a 500 foot high hill with the chute open.,This story explores all you need is a chute and the courage to run off a 500 foot high hill with the chute open.,,Outdoor Recreation,Paragliding Willamette Valley; Oregon; Willamette Valley,1.0,2.0,Jim Newman,00:06:01,,1.0,Description,Paragliding
-122.6605703,45.4705497,0.0,01.02 Urban Wildlife Refuge,"Portland is one of the first major metropolitan cities to set aside land for a network of urban refuges. Oaks Bottom Wildlife Refuge has already been designated, and activist Mike Houck is busy trying to get as many as 70 other spots on the list.",1.0,2.0,4/23/90,,,,,,,,,"Portland is one of the first major metropolitan cities to set aside land for a network of urban refuges. Oaks Bottom Wildlife Refuge has already been designated, and activist Mike Houck is busy trying to get as many as 70 other spots on the list.","This story explores portland is one of the first major metropolitan cities to set aside land for a network of urban refuges. Oaks Bottom Wildlife Refuge has already been designated, and activist Mike Houck is busy trying to get as many as 70 other spots on the list.",,Wildlife & Habitat,Urban Wildlife Refuge; Portland; Oaks Bottom Wildlife Refuge,1.0,2.0,Eric Cain,00:05:54,,1.0,Description,Urban Wildlife Refuge
-122.9111995,42.3741971,0.0,01.03 Lyme Disease,Experts show us how to spot this deadly disease and what precautions we can take to protect ourselves for the disease–bearing tick. Lyme disease,1.0,3.0,4/30/90,,,,,,,,,Experts show us how to spot this deadly disease and what precautions we can take to protect ourselves for the diseasebearing tick. Lyme disease.,This story explores experts show us how to spot this deadly disease and what precautions we can take to protect ourselves for the diseasebearing tick. Lyme disease.,,Wildlife & Habitat,,1.0,3.0,Jim Newman,00:10:01,,1.0,Description,Lyme Disease
-121.1413575,44.3667002,0.0,01.03 Smith Rock Climbing,Smith Rocks State Park is known around the world as a great place to try your hand at gymnastic climbing. Central Oregon rock climbing,1.0,3.0,4/30/90,,,,,,,,,Smith Rocks State Park is known around the world as a great place to try your hand at gymnastic climbing.,This story explores smith Rocks State Park is known around the world as a great place to try your hand at gymnastic climbing.,,Geology & Natural History; Outdoor Recreation,Smith Rock; Central Oregon; Central; Oregon,1.0,3.0,Eric Cain,00:07:28,,1.0,Description,Smith Rock Climbing
-121.0994363,45.6503507,0.0,01.03 SOAR,SOAR is an organization dedicated to providing outdoor activities for the disabled. We rock climb with a woman who has cerebral palsy. SOAR unites the disabled with expert climbers and other teachers of outdoor skills. We profile three individuals who have the courage to test their limits on the face of Horse Thief Butte.,1.0,3.0,4/30/90,,,,,,,,,SOAR is an organization dedicated to providing outdoor activities for the disabled. We rock climb with a woman who has cerebral palsy. SOAR unites the disabled with expert climbers and other teachers of outdoor skills. We profile three individuals who have the courage to test their limits on the face of Horse Thief Butte.,This story explores sOAR is an organization dedicated to providing outdoor activities for the disabled. We rock climb with a woman who has cerebral palsy. SOAR unites the disabled with expert climbers and other teachers of outdoor skills. We profile three individuals who have the courage to test their limits on the face of Horse Thief Butte.,,Agriculture & Ranching; Outdoor Recreation,Horse Thief Butte,1.0,3.0,Jim Newman,00:06:42,,1.0,Description,SOAR
-116.8595075,44.8832123,0.0,01.04 Peregrine Falcon Reintroduction,PEREGRINE FALCON REINTRODUCTION –– Join us for a trip to the Hells Canyon Birds of Prey Area and see efforts to bring the falcon back to Oregon.,1.0,4.0,5/7/90,,,,,,,,,PEREGRINE FALCON REINTRODUCTION Join us for a trip to the Hells Canyon Birds of Prey Area and see efforts to bring the falcon back to Oregon.,This story explores pEREGRINE FALCON REINTRODUCTION Join us for a trip to the Hells Canyon Birds of Prey Area and see efforts to bring the falcon back to Oregon.,,Wildlife & Habitat; Climate & Environment,Hells Canyon; Oregon,1.0,4.0,Steve Lobel,00:04:48,,1.0,Description,Peregrine Falcon Reintroduction
