X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,,,,,,,
-121.6767447,42.9049573,0,01.01 Bald Eagles,"Visit a winter roosting site for Bald Eagles located on the Oregon/California border. Harsh weather has provided the Eagles with a much anticipated food supply. Birds who have failed to migrate before the storm are now in a weakened, disadvantaged condition. Watch as Eagles scavenge the marshland for food, and learn why Ben Franklin thought the birds too lazy to be an appropriate symbol of the nation.",1,1,4/16/90,,,,,,,,
-124.15239,44.6014992,0,01.01 Drift Net Fishing,"Driftnet fishing boats can lay out up to 30 miles of net in a single night. They capture everything that swims by, from commercially useful fish to dolphins, sharks and protected salmon. The result is overfishing of the worldwide stock of seafood.",1,1,4/16/90,,,,,,,,
-121.152293,45.5876397,0,01.02 Artifact Looting,"Archaeological digs are being gutted by thieves looking a quick buck on the black market. Tools, bits of pottery, and petroglyphs are all the clues we have to ancient Oregon residents. In the Columbia River Gorge looting occurs on a weekly basis.",1,2,4/23/90,,,,,,,,
-122.7932975,45.4564072,0,01.02 Koll Creekside Marsh,Development and wildlife habitat can work together. The Koll Creekside marsh in Beaverton is a wildlife refuge and a high–tech industrial site. Portland Oregon,1,2,4/23/90,,,,,,,,
-122.8958324,44.4360917,0,01.02 Paragliding,All you need is a chute and the courage to run off a 500 foot high hill with the chute open. Paragliding Willamette Valley Oregon,1,2,4/23/90,,,,,,,,
-122.6605703,45.4705497,0,01.02 Urban Wildlife Refuge,"Portland is one of the first major metropolitan cities to set aside land for a network of urban refuges. Oaks Bottom Wildlife Refuge has already been designated, and activist Mike Houck is busy trying to get as many as 70 other spots on the list.",1,2,4/23/90,,,,,,,,
-122.9111995,42.3741971,0,01.03 Lyme Disease,Experts show us how to spot this deadly disease and what precautions we can take to protect ourselves for the disease–bearing tick. Lyme disease,1,3,4/30/90,,,,,,,,
-121.1413575,44.3667002,0,01.03 Smith Rock Climbing,Smith Rocks State Park is known around the world as a great place to try your hand at gymnastic climbing. Central Oregon rock climbing,1,3,4/30/90,,,,,,,,
-121.0994363,45.6503507,0,01.03 SOAR,SOAR is an organization dedicated to providing outdoor activities for the disabled. We rock climb with a woman who has cerebral palsy. SOAR unites the disabled with expert climbers and other teachers of outdoor skills. We profile three individuals who have the courage to test their limits on the face of Horse Thief Butte.,1,3,4/30/90,,,,,,,,
-116.8595075,44.8832123,0,01.04 Peregrine Falcon Reintroduction,PEREGRINE FALCON REINTRODUCTION –– Join us for a trip to the Hells Canyon Birds of Prey Area and see efforts to bring the falcon back to Oregon.,1,4,5/7/90,,,,,,,,
-124.0550676,44.6227541,0,01.04 Seals and Sea Lions,"They are a popular attraction along the coast unless you're in commercial fishing. We explore the controversy. Seals and sea lions on the Oregon coast are a big draw for tourists, and they're protected by federal law. But commercial fishermen say there are too many seals and sea lions, and that they are eating all the good fish.",1,4,5/7/90,,,,,,,,
-123.4120694,44.3603822,0,01.04 Steam Mill,We visit a functioning steam mill and meet the man who has run the place for more than 50 years. Willamette Valley Oregon,1,4,5/7/90,,,,,,,,
-120.7655852,42.9482098,0,01.04 Summer Lake Wildlife Refuge,"Summer Lake Wildlife Management Area is located about 70 miles south of La Pine. The refuge is home to thousands of birds, including snow geese, whistling swans, and over 200 other species. It is a flat alkaline marsh that was set aside in 1944 to provide wildlife habitat as well as hunting opportunities for sportsmen.",1,4,5/7/90,,,,,,,,
-124.4488048,42.9954873,0,01.05 New River wetlands,"This massive stretch of swampland surrounding The New River provided critical resources to Native American tribes and early settler traders in the 1850s. For historical and environmental reasons, groups like the Nature Conservancy are pushing to restore what is now pasture land to its natural condition. Ranchers, however, who have owned the property for years, are highly opposed to the idea of giving away their prime grazing land.",1,5,5/14/90,,,,,,,,
-124.3219935,42.5959718,0,01.05 South Coast Stream Management,"A series of streams along the south coast of Oregon used to be home to healthy salmon runs, but those have been declining for decades. Scientists believe the streams in this area are particularly vulnerable to the erosion that results from clear-cut logging.",1,5,5/14/90,,,,,,,,
-121.1437422,44.7920073,0,01.05 Steelhead Fishing on the Deschutes,We take in a little steelhead fishing while learning about efforts to protect the river. Deschutes River Central Oregon boating,1,5,5/14/90,,,,,,,,
-122.690544,42.1942244,0,01.06 Animal Forensic Lab,The most sophisticated animal forensic lab in the nation is the Fish and Wildlife Department's lab in Ashland. The evidence to convict poachers can be obtained months after an animal is killed.,1,7,5/28/90,,,,,,,,
-123.9283182,46.0077033,0,01.06 Beach Cleanup,We look at the efforts of an Oregon woman who organized a statewide beach cleanup that became the model for other states. Oregon Coast,1,6,5/21/90,,,,,,,,
-121.1047036,45.2402075,0,01.06 Mountain Biking,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible. Mountain biking Portland Oregon,1,6,5/21/90,,,,,,,,
-123.1052537,44.0053484,0,01.06 Mountain Biking,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible. Mountain biking Portland Oregon,1,6,5/21/90,,,,,,,,
-124.0880833,44.6559374,0,01.06 Oceans of Trash,"Livelihood of fisherman, highway for sailers, dumping ground for all. The ocean is a vital resource for human civilization, and yet we pollute it with every kind of trash imaginable. Such a vast resource, the ocean used to seem limitless, causing an ""out of sight, out of mind"" mentality for trash dumping. Now the Port of Newport has set up one of the first sites in the country for recycling garbage once thrown overboard by ocean going vessels.",1,6,5/21/90,,,,,,,,
-122.187445,46.2650518,0,01.07 Elk of Mount St. Helens,"Along with their forest home, many elk were wiped out by the eruption of Mount St. Helens. Now they are grazing on the new grassy meadows created by collapsing mountain. These closely-watched elk seem to be bouncing back.",1,7,5/28/90,,,,,,,,
-118.2667956,45.4042114,0,01.07 Forest of the Future,"Join Mike Wisdom, a US Forest Service biologist as he explains this long-term comprehensive study of elk and deer set in the Blue Mountains near La Grande, Oregon. The study looks at the impact of cattle and rangeland, motorized traffic and roads and timber production on the health of elk and deer herds.",1,7,5/28/90,,,,,,,,
-123.2799511,44.5645719,0,01.07 In Search of Sasquatch,"A plaster cast of a footprint first convinced Grover Krantz, a visiting professor of anthropology at Oregon State University, that there really is a bigfoot. Since then he's met over 70 people who claim to have seen Sasquatch, and over half of their stories, he says, are completely credible.",1,7,5/28/90,,,,,,,,
-122.7981629,44.801424,0,01.07 In Search of Sasquatch -- Chris Johnson,"Chris Johnson lives in rural Stayton, Oregon and spends a lot of time bow hunting in the misty Cascade Mountains. One evening he saw a creature with a furry black face. He returns to the site and tells his story, which is similar to tales of Sasquatch that go back hundreds of years.",1,8,6/4/90,,,,,,,,
-122.7398689,42.1844723,0,01.08 Logging with Horses,It's back to the future for one environmentally-minded logging operation near Ashland. This timber owner cuts trees selectively to improve the health of the forest. He uses horses to haul out the logs because they have less impact on the land than heavy equipment.,1,8,6/4/90,,,,,,,,
-116.7262223,45.1624621,0,01.08 Mail Delivery in Hells Canyon,"Where the Snake River runs through Hells Canyon in northeastern Oregon, a weekly mail boat delivers more than just letters. Some ranchers along the river don't have phones or boats of their own, and the mail boat is their only contact with the outside world. The boat delivers groceries and supplies, and even ferries pets to the vet. In summer tourists come along for the ride, but in winter it's a dangerous ride.",1,8,6/4/90,,,,,,,,
-122.807128,42.4695236,0,01.09 Dog Sled Racers,"We follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.",1,8,6/4/90,,,,,,,,
-124.2244273,43.5956944,0,01.09 Dog Sled Racers,"We follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.",1,9,6/11/90,,,,,,,,
-115.3135272,35.3448496,0,01.09 Land Surfing,"At the International Landsailing Championship in the California desert, a father and son team from Portland test out their new land yacht. While traditional land yachts look like windsurfing boards with wheels, theirs has a solid metal wing in place of a cloth sail.",1,9,6/11/90,,,,,,,,
-124.060577,44.7443404,0,01.09 Surfing Oregon,"Gray skies, windy weather, and cold water do not typically draw flocks of people to the beach. With a pure love of surfing, however, these hearty groups of men are willing to brave the elements in order to enjoy the waves of the Oregon Coast. They may not be cheered on by sun bathers in bikinis, but the swells themselves are enough to keep Oregon surfers coming back for more.",1,9,6/11/90,,,,,,,,
